VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VV_16,VH_17,VH_18,VH_19,VH_20,VH_21,VH_22,VH_23,VH_24,VH_25,VH_26,VH_27,VH_28,VH_29,VH_30,VH_31,VH_32,VHVV_33,VHVV_34,VHVV_35,VHVV_36,VHVV_37,VHVV_38,VHVV_39,VHVV_40,VHVV_41,VHVV_42,VHVV_43,VHVV_44,VHVV_45,VHVV_46,VHVV_47,VHVV_48,label
-8.921972,-9.60972,-8.623183,-9.156914,-7.7324357,-5.431881,-1.8495678,-8.933715,-5.800352,-11.092356,-7.4480977,-10.297507,-11.053032,-6.5390058,-10.509772,-11.946839,-15.934366,-14.542276,-14.392449,-16.744415,-18.25181,-19.691198,-14.705555,-18.674385,-16.854572,-19.953175,-18.61013,-16.842104,-18.360283,-17.948446,-17.744223,-17.389881,1.7859691,1.5132883,1.6690413,1.8286091,2.360422,3.6251159,7.950806,2.090327,2.9057841,1.7988222,2.498642,1.6355516,1.6611083,2.744828,1.6883546,1.4556051,0
-12.073819,-10.942762,-9.517416,-14.43095,-8.516245,-12.412517,-15.589428,-12.854502,-12.696165,-13.975715,-11.408375,-7.065157,-9.609981,-12.277326,-12.887404,-13.409754,-14.791117,-16.501434,-18.212133,-21.729927,-13.861007,-23.122917,-21.676264,-27.392588,-18.833633,-17.32379,-18.353624,-16.919847,-20.358368,-14.556198,-14.707941,-16.827765,1.225057,1.5079771,1.9135585,1.5057863,1.627596,1.862871,1.3904464,2.1309724,1.4834112,1.2395637,1.6087852,2.3948298,2.118461,1.1856164,1.1412648,1.2548898,0
-9.409835,-8.237193,-8.808921,-13.231774,-11.653107,-11.760925,-7.7880306,-12.329372,-10.854208,-9.199108,-9.788912,-11.588384,-11.559931,-9.765667,-13.881599,-10.971762,-18.07208,-18.56911,-17.992222,-16.633135,-17.762808,-17.863758,-14.726811,-17.416025,-15.6142235,-13.14009,-17.951569,-17.332901,-17.968044,-13.138084,-22.41104,-17.858414,1.9205524,2.2543006,2.0425,1.25706,1.5242981,1.5189077,1.8909545,1.4125638,1.438541,1.4284091,1.8338677,1.4957135,1.5543385,1.345334,1.6144422,1.6276705,0
-9.409835,-8.237193,-8.808921,-13.231774,-11.653107,-11.760925,-7.7880306,-12.329372,-10.854208,-9.199108,-9.788912,-11.588384,-11.559931,-9.765667,-13.881599,-10.971762,-18.07208,-18.56911,-17.992222,-16.633135,-17.762808,-17.863758,-14.726811,-17.416025,-15.6142235,-13.14009,-17.951569,-17.332901,-17.968044,-13.138084,-22.41104,-17.858414,1.9205524,2.2543006,2.0425,1.25706,1.5242981,1.5189077,1.8909545,1.4125638,1.438541,1.4284091,1.8338677,1.4957135,1.5543385,1.345334,1.6144422,1.6276705,0
-10.208631,-11.439673,-11.82431,-12.894396,-10.294267,-9.39487,-9.924163,-12.097309,-13.473137,-10.084864,-9.26393,-9.493936,-10.923021,-6.6187015,-8.730679,-9.348624,-17.375599,-16.125525,-21.91078,-17.617683,-15.732244,-17.363903,-18.368433,-19.780676,-19.692133,-19.626328,-15.704574,-18.278448,-16.25946,-16.529505,-17.763582,-15.354984,1.70205,1.409614,1.8530282,1.3663055,1.528253,1.8482324,1.8508798,1.6351303,1.4615849,1.9461173,1.6952387,1.925276,1.4885497,2.497394,2.0346165,1.6424859,0
-1.8857874,-4.5067677,-3.7462947,-8.000671,-6.6201186,-6.5213027,-8.288953,-7.737274,-8.845332,-6.697285,-5.1460733,-3.4803584,-5.7006936,-8.9007225,-6.2811875,-9.087856,-16.121258,-17.951519,-15.538402,-18.966955,-19.018726,-14.188548,-15.879985,-13.42092,-17.795963,-16.805983,-16.898218,-15.884863,-16.86995,-15.213134,-15.516791,-12.8948965,8.5488205,3.983236,4.147672,2.3706703,2.872868,2.1757228,1.9158012,1.7345799,2.0119045,2.5093725,3.283711,4.5641456,2.95928,1.709202,2.4703596,1.4189152,0
-12.014169,-11.507239,-13.68583,-9.2575,-10.572199,-7.790083,-8.9313,-11.579301,-8.644835,-8.186173,-8.165307,-9.197797,-12.629025,-11.978283,-11.335865,-13.567963,-17.697866,-18.153639,-15.814628,-19.280035,-17.561504,-14.0467615,-14.156063,-18.359358,-16.20306,-18.153358,-16.799982,-17.774406,-17.40976,-19.819004,-9.169426,-14.7174835,1.4730829,1.5775841,1.1555476,2.0826395,1.6611023,1.8031594,1.5849947,1.5855325,1.8743052,2.2175634,2.0574832,1.9324636,1.3785514,1.6545781,0.80888635,1.0847231,0
-10.197708,-7.498518,-7.491644,-12.1833,-12.031815,-6.9591436,-8.224213,-10.975934,-12.019586,-9.604016,-9.682325,-10.062072,-11.853939,-9.543997,-12.02765,-14.972493,-17.746157,-17.697779,-16.220028,-18.558989,-17.403025,-15.633966,-14.793701,-18.211195,-11.629399,-14.28754,-18.84668,-17.63389,-19.853802,-12.143204,-13.7741785,-12.213338,1.7402104,2.3601701,2.1650827,1.5233138,1.4464172,2.246536,1.7987984,1.6591933,0.96753746,1.487663,1.9465035,1.7525108,1.6748695,1.2723395,1.1452094,0.81571835,0
-5.7780676,-12.856265,-7.5561905,-7.970161,-8.826157,-9.280423,-9.002364,-5.9740715,-9.895611,-5.6403613,-5.8545003,-7.2360325,-10.030758,-9.769216,-10.970635,-10.356033,-20.738266,-12.250805,-11.211598,-13.670563,-11.773897,-16.104952,-14.960369,-15.497062,-18.346182,-17.318556,-12.691111,-13.405527,-14.392501,-13.096083,-14.216905,-15.129449,3.5891354,0.9529054,1.4837633,1.715218,1.3339778,1.7353684,1.6618267,2.5940537,1.8539716,3.0704694,2.167753,1.8526074,1.4348367,1.340546,1.2959054,1.460931,0
-3.3682427,-7.9975543,-4.83709,-4.4802237,-9.676916,-4.432311,-4.583094,-7.734453,-6.0648236,-3.9905894,-2.0701375,-6.5695047,-7.201876,-3.672394,-4.0708,-9.394384,-14.284738,-16.595667,-12.798453,-15.464993,-19.544996,-12.905008,-16.204025,-14.014763,-14.777469,-13.555765,-12.721018,-12.892491,-14.212128,-20.761528,-10.577684,-12.064256,4.241006,2.0750928,2.6458993,3.4518352,2.0197546,2.9115756,3.5356083,1.8119915,2.4365869,3.396933,6.145011,1.9624754,1.9733924,5.653404,2.598429,1.2841988,0
